time,S,R,cycle,time2,N
0,1195,3805,1,0,5000
1,220.506753442518,1402.19296785252,1,1,1622.69972129504
2,206.071379477416,1980.44181191922,1,2,2186.51319139664
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
4,327.768965377697,4505.33108766474,1,4,4833.10005304244
5,498.377305656703,6711.76567768138,1,5,7210.14298333808
6,757.499563904041,9998.76863403441,1,6,10756.2681979385
7,1150.92579449779,14895.5504537558,1,7,16046.4762482536
8,1748.06791570593,22190.46145299,1,8,23938.5293686959
9,2654.12540854886,33057.9738955011,1,9,35712.09930405
10,4028.48626458037,49247.7197352442,1,10,53276.2059998246
11,6112.58214633691,73366.2011447773,1,11,79478.7832911142
12,9272.02662124188,109296.421046458,1,12,118568.4476677
13,14060.3552609771,162823.035068356,1,13,176883.390329334
0,14060.3552609771,162823.035068356,2,13,176883.390329334
1,2594.47974347923,56885.5552422251,2,14,59480.0349857043
2,2424.6333197529,77864.5467478439,2,15,80289.1800675968
3,2535.3222760297,116439.403099584,2,16,118974.725375614
3,2535.3222760297,116439.403099584,2,16,118974.725375614
4,4025.28018614719,173464.270607504,2,17,177489.550793652
5,6367.05278983439,258416.346949528,2,18,264783.399739362
6,10037.8664284598,384972.56099556,2,19,395010.42742402
7,15778.2278806149,573508.457549547,2,20,589286.685430162
8,24735.3068925976,854376.927439393,2,21,879112.234331991
9,38683.9251425849,1272797.7928151,2,22,1311481.71795769
10,60366.1058490986,1896135.16128339,2,23,1956501.26713249
11,94013.0931113939,2824744.47150285,2,24,2918757.56461425
12,146146.612806575,4208128.9925332,2,25,4354275.60533978
13,226807.965236853,6269009.38136082,2,26,6495817.34659767
0,226807.965236853,6269009.38136082,3,26,6495817.34659767
1,41851.6218536255,2163763.55931217,3,27,2205615.18116579
2,39111.8246803057,2939551.8986864,3,28,2978663.7233667
3,40897.3511859143,4373083.04977161,3,29,4413980.40095752
3,40897.3511859143,4373083.04977161,3,29,4413980.40095752
4,70138.7778017304,6514749.33172696,3,30,6584888.1095287
5,118231.693374417,9705268.42063219,3,31,9823500.11400661
6,196636.82203837,14458305.0887714,3,32,14654941.9108098
7,323523.777739654,21539088.4765652,3,33,21862612.2543049
8,527594.916475178,32087591.3637041,3,34,32615186.2801793
9,854049.270595849,47802100.1058364,3,35,48656149.3764323
10,1373859.77275204,71212598.9145054,3,36,72586458.6872574
11,2198186.08558395,106088105.241803,3,37,108286291.327387
12,3500725.29351498,158043467.313394,3,38,161544192.606909
13,5552321.78378781,235443337.029655,3,39,240995658.813443
0,5552321.78378781,235443337.029655,4,39,240995658.813443
1,1024539.29015744,81014498.4252421,4,40,82039037.7153995
2,957468.296824039,109849348.007922,4,41,110806816.304746
3,1001178.48003341,163200789.070108,4,42,164201967.550141
3,1001178.48003341,163200789.070108,4,42,164201967.550141
4,1834199.63005246,243126437.651649,4,43,244960637.281702
5,3243732.95990187,362194635.098033,4,44,365438368.057935
6,5595016.75412604,539575026.263817,4,45,545170043.017943
7,9472934.68325775,803825420.823406,4,46,813298355.506664
8,15809621.0574278,1197489069.55341,4,47,1213298690.61084
9,26084464.6575177,1783944771.68976,4,48,1810029236.34728
10,42636724.4282032,2657610043.42099,4,49,2700246767.8492
11,69153224.5463936,3959142268.8354,4,50,4028295493.38179
12,111427627.879176,5898084093.10537,4,51,6009511720.98455
13,178540401.648601,8786599129.03699,4,52,8965139530.6856
0,178540401.648601,8786599129.03699,5,52,8965139530.6856
1,32945074.7800008,3021000647.45922,5,53,3053945722.23922
2,30788340.6145667,4094187783.94069,5,54,4124976124.55526
3,32193884.8121602,6080520357.26313,5,55,6112714242.07529
3,32193884.8121602,6080520357.26313,5,55,6112714242.07529
4,60718295.5041342,9058382642.07502,5,56,9119100937.57915
5,109486778.461423,13494614543.2587,5,57,13604101321.7201
6,191499664.995136,20103436901.0228,5,58,20294936566.018
7,327641909.363071,29948853091.0299,5,59,30276495000.3929
8,551290524.568579,44615937385.7292,5,60,45167227910.2978
9,915546811.781461,66466049883.8395,5,61,67381596695.621
10,1504556795.12713,99016989932.203,5,62,100521546727.33
11,2451193620.80829,147509357400.36,5,63,149960551021.168
12,3964618425.27685,219750272550.261,5,64,223714890975.538
13,6373157234.38079,327370297728.559,5,65,333743454962.939
0,6373157234.38079,327370297728.559,6,65,333743454962.939
1,1176003524.87515,112532717505.589,6,66,113708721030.464
2,1099016995.09171,152489101649.793,6,67,153588118644.885
3,1149189135.89806,226449878251.706,6,68,227599067387.604
3,1149189135.89806,226449878251.706,6,68,227599067387.604
4,2187012526.07628,337351000163.087,6,69,339538012689.163
5,3966723599.90046,502564517164.368,6,70,506531240764.268
6,6966557755.16648,748689342743.625,6,71,755655900498.791
7,11955475592.4335,1115350922535.35,6,72,1127306398127.79
8,20163322155.8409,1661580394524.18,6,73,1681743716680.02
9,33548028922.8148,2475319177125.53,6,74,2508867206048.34
10,55214022402.5662,3687576655439.21,6,75,3742790677841.78
11,90065993425.2901,5493522503842.32,6,76,5583588497267.61
12,145828220763.971,8183908378740.02,6,77,8329736599503.99
13,234630803106.518,12191878014172.3,6,78,12426508817278.8
0,234630803106.518,12191878014172.3,7,78,12426508817278.8
1,43295126944.1513,4190698995048.65,7,79,4233994121992.8
2,40460831374.9118,5678472989380.73,7,80,5718933820755.65
3,42307942509.6352,8432463249429.77,7,81,8474771191939.4
3,42307942509.6352,8432463249429.77,7,81,8474771191939.4
4,80715436076.0195,12562161325657.6,7,82,12642876761733.7
5,146631731191.196,18714325829105.8,7,83,18860957560297
6,257807475349.03,27879438047348.5,7,84,28137245522697.5
7,442790846704.977,41533056600203.2,7,85,41975847446908.2
8,747249946291.698,61873363136214.8,7,86,62620613082506.5
9,1243901914067.37,92175089957010.1,7,87,93418991871077.4
10,2048062435255.04,137316719812343,7,88,139364782247598
11,3341944214586.59,204565914356740,7,89,207907858571326
12,5412545045143.99,304749584379713,7,90,310162129424857
13,8710612204677.06,453996988116541,7,91,462707600321218
0,8710612204677.06,453996988116541,8,91,462707600321218
1,1607321187881.53,156049590504895,8,92,157656911692776
2,1502098645699.5,211448119988927,8,93,212950218634626
3,1570672202881.64,313995916357624,8,94,315566588560506
3,1570672202881.64,313995916357624,8,94,315566588560506
4,2998508769159.48,467771662584864,8,95,470770171354023
5,5449534302290.62,696857099534033,8,96,702306633836323
6,9584159126646.17,1038134342535769,8,97,1047718501662415
7,16464579623934.7,1546548115406802,8,98,1563012695030737
8,27790066472962.9,2303951141952583,8,99,2331741208425546
9,46266487387755,3432283183037659,8,100,3478549670425414
10,76185014520643.9,5113202149991982,8,101,5189387164512626
11,124326464030528,7617330755283336,8,102,7741657219313864
12,201371443183534,11347825901459648,8,103,11549197344643182
13,324094975778159,16905285663980144,8,104,17229380639758304
0,324094975778159,16905285663980144,9,104,17229380639758304
1,59803456888424.4,5810728083597960,9,105,5870531540486384
2,55888451093367.7,7873552471581188,9,106,7929440922674556
3,58439861353835.5,11692037119576242,9,107,11750476980930078
3,58439861353835.5,11692037119576242,9,107,11750476980930078
4,111584490556287,17418072517557452,9,108,17529657008113738
5,202817706878094,25948359988872344,9,109,26151177695750440
6,356725242194449,38656251988051208,9,110,39012977230245656
7,612851144044249,57587685136653528,9,111,58200536280697776
8,1034457707500181,85790549690897760,9,112,86825007398397936
