time,S,R,cycle,time2,N
0,1195,3805,1,0,5000
1,220.506753442518,1402.19296785252,1,1,1622.69972129504
2,206.071379477416,1980.44181191922,1,2,2186.51319139664
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
4,327.768965377697,4505.33108766474,1,4,4833.10005304244
5,498.377305656703,6711.76567768138,1,5,7210.14298333808
6,757.499563904041,9998.76863403441,1,6,10756.2681979385
7,1150.92579449779,14895.5504537558,1,7,16046.4762482536
8,1748.06791570593,22190.46145299,1,8,23938.5293686959
0,1748.06791570593,22190.46145299,2,8,23938.5293686959
1,322.56132301375,7738.55455303287,2,9,8061.11587604662
2,301.444993591566,10580.6145840718,2,10,10882.0595776633
3,315.206510029418,15810.1910858016,2,11,16125.3975958311
3,315.206510029418,15810.1910858016,2,11,16125.3975958311
4,503.230690467601,23553.0512403507,2,12,24056.2819308183
5,799.889901331129,35087.8786563781,2,13,35887.7685577093
6,1266.52732870633,52271.7347511451,2,14,53538.2620798515
7,1998.53487965666,77871.2152250298,2,15,79869.7501046864
8,3143.98712736426,116007.653959324,2,16,119151.641086688
0,3143.98712736426,116007.653959324,3,16,119151.641086688
1,580.142589720035,39951.7885526558,3,17,40531.9311423759
2,542.163821156707,54200.7578933807,3,18,54742.9217145374
3,566.914593423117,80555.1548425178,3,19,81122.0694359409
3,566.914593423117,80555.1548425178,3,19,81122.0694359409
4,1013.86422615876,120006.090298658,3,20,121019.954524817
5,1762.97220213363,178777.606056817,3,21,180540.578258951
6,3003.17202612807,266331.753926333,3,22,269334.925952461
7,5036.06925529145,396764.541391059,3,23,401800.61064635
8,8341.01923352554,591075.109308602,3,24,599416.128542127
0,8341.01923352554,591075.109308602,4,24,599416.128542127
1,1539.12223685061,202914.435984776,4,25,204453.558221626
2,1438.36430682267,274735.148964321,4,26,276173.513271143
3,1504.02827439396,407753.016822649,4,27,409257.045097043
3,1504.02827439396,407753.016822649,4,27,409257.045097043
4,3094.76768791302,607445.175873258,4,28,610539.943561171
5,5884.64717627261,904933.977159707,4,29,910818.624335979
6,10667.5564437299,1348114.62498371,4,30,1358782.18142744
7,18727.7612959396,2008336.8986657,4,31,2027064.65996164
8,32130.1408217788,2991895.51816578,4,32,3024025.65898756
0,32130.1408217788,2991895.51816578,5,32,3024025.65898756
1,5928.79752848604,1026261.11355593,5,33,1032189.91108441
2,5540.67152478033,1388777.41854542,5,34,1394318.0900702
3,5793.61333818314,2060427.59105617,5,35,2066221.20439436
3,5793.61333818314,2060427.59105617,5,35,2066221.20439436
4,12943.3694500096,3069497.12922462,5,36,3082440.49867463
5,25715.5718631417,4572745.5500788,5,37,4598461.12194194
6,47906.9369131693,6812193.36825056,5,38,6860100.30516373
7,85686.4053326704,10148379.4779771,5,39,10234065.8833098
8,149009.790967219,15118424.9884204,5,40,15267434.7793876
0,149009.790967219,15118424.9884204,6,40,15267434.7793876
1,27495.954198608,5184704.574931,6,41,5212200.5291296
2,25695.944204584,7015189.55533402,6,42,7040885.49953861
3,26869.0111692798,10406929.5388283,6,43,10433798.5499976
3,26869.0111692798,10406929.5388283,6,43,10433798.5499976
4,61804.1294205802,15503597.3190523,6,44,15565401.4484729
5,124558.412581287,23096293.1179391,6,45,23220851.5305204
6,234023.749660125,34407427.9317383,6,46,34641451.6813984
7,420933.792713386,51258034.0568324,6,47,51678967.8495458
8,734940.123110818,76361033.0438583,6,48,77095973.1669691
0,734940.123110818,76361033.0438583,7,48,77095973.1669691
1,135614.444075955,26185724.8724661,7,49,26321339.316542
2,126736.506877617,35429450.1379499,7,50,35556186.6448275
3,132522.260780026,52557744.6886363,7,51,52690266.9494163
3,132522.260780026,52557744.6886363,7,51,52690266.9494163
4,307393.10442555,78297263.6026573,7,52,78604656.7070828
5,621990.475988314,116642383.771638,7,53,117264374.247626
6,1171345.86224484,173766603.132094,7,54,174937948.994339
7,2110109.17797427,258866617.758428,7,55,260976726.936402
8,3688193.7529366,385643396.193237,7,56,389331589.946174
0,3688193.7529366,385643396.193237,8,56,389331589.946174
1,680562.034540177,132242859.268692,8,57,132923421.303232
2,636009.354013037,178923733.28652,8,58,179559742.640533
3,665044.347107784,265422294.774945,8,59,266087339.122053
3,665044.347107784,265422294.774945,8,59,266087339.122053
4,1546091.70735767,395409648.475805,8,60,396955740.183163
5,3131755.40750742,589056651.878489,8,61,592188407.285997
6,5901454.16200405,877540136.332131,8,62,883441590.494135
7,10635440.1107548,1307304413.95012,8,63,1317939854.06088
8,18594688.5049789,1947540854.45284,8,64,1966135542.95782
0,18594688.5049789,1947540854.45284,9,64,1966135542.95782
1,3431175.2278514,667838126.550578,9,65,671269301.77843
2,3206554.91993169,903578431.121944,9,66,906784986.041876
3,3352940.03104864,1340400412.97484,9,67,1343753353.00589
3,3352940.03104864,1340400412.97484,9,67,1343753353.00589
4,7799544.67137279,1996845277.72631,9,68,2004644822.39768
5,15803159.7311225,2974775648.6103,9,69,2990578808.34142
6,29784218.2072918,4431636616.43035,9,70,4461420834.63764
7,53682055.8169113,6601975079.41873,9,71,6655657135.23565
8,93863205.0864156,9835212096.94137,9,72,9929075302.02779
0,93863205.0864156,9835212096.94137,10,72,9929075302.02779
1,17320059.1132798,3372623920.66109,10,73,3389943979.77437
2,16186209.4108158,4563124102.99096,10,74,4579310312.40178
3,16925139.5468439,6769097672.73663,10,75,6786022812.28348
3,16925139.5468439,6769097672.73663,10,75,6786022812.28348
4,39377105.8436392,10084181256.7231,10,76,10123558362.5667
5,79790386.1430799,15022784775.8543,10,77,15102575161.9974
6,150387423.558546,22380014815.6901,10,78,22530402239.2486
7,271060772.97459,33340346442.8854,10,79,33611407215.86
8,473959824.072756,49668375705.9738,10,80,50142335530.0465
0,473959824.072756,49668375705.9738,11,80,50142335530.0465
1,87457190.0959729,17031936389.924,11,81,17119393580.02
2,81731845.3774566,23044023893.4499,11,82,23125755738.8273
3,85463053.969275,34184305838.129,11,83,34269768892.0983
3,85463053.969275,34184305838.129,11,83,34269768892.0983
4,198841862.906758,50925655510.4835,11,84,51124497373.3903
5,402923897.345734,75865867820.3039,11,85,76268791717.6496
6,759431982.892157,113020273612.957,11,86,113779705595.849
7,1368822846.83744,168370535427.647,11,87,169739358274.484
8,2393450032.25199,250827957823.629,11,88,253221407855.881
0,2393450032.25199,250827957823.629,12,88,253221407855.881
1,441650122.698463,86012185000.1447,12,89,86453835122.8431
2,412737700.579154,116373541573.454,12,90,116786279274.033
3,431579933.339913,172632550222.368,12,91,173064130155.708
3,431579933.339913,172632550222.368,12,91,173064130155.708
4,1004142512.00324,257177250405.325,12,92,258181392917.328
5,2034758025.23743,383126640001.545,12,93,385161398026.783
6,3835128455.67849,570758351881.812,12,94,574593480337.491
7,6912563274.97981,850280097849.621,12,95,857192661124.601
8,12086953008.4637,1266694436646.91,12,96,1278781389655.37
0,12086953008.4637,1266694436646.91,13,96,1278781389655.37
1,2230338719.13168,434366069646.96,13,97,436596408366.091
2,2084330620.86019,587692514380.353,13,98,589776845001.213
3,2179484135.19512,871803464075.076,13,99,873982948210.271
3,2179484135.19512,871803464075.076,13,99,873982948210.271
4,5070946810.81397,1298758649486.95,13,100,1303829596297.76
5,10275596742.1753,1934809695517.16,13,101,1945085292259.34
6,19367543294.7902,2882359715347.95,13,102,2901727258642.74
